"4.您的月生活费○≦1,000元   ○1,001-2,000元   ○2,001-3,000元   ○≧3,001元",低碳行为积极性
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
0.7576026558777961,0
-0.2999645033424777,0
-1.3575316625627514,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
0.7576026558777961,0
-0.2999645033424777,0
-0.2999645033424777,0
-1.3575316625627514,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-1.3575316625627514,0
0.7576026558777961,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-1.3575316625627514,0
-0.2999645033424777,0
-0.2999645033424777,0
0.7576026558777961,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-1.3575316625627514,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-1.3575316625627514,0
-0.2999645033424777,0
0.7576026558777961,0
-0.2999645033424777,0
-0.2999645033424777,0
-0.2999645033424777,0
-1.3575316625627514,0
-1.3575316625627514,0
-0.2999645033424777,0
0.7576026558777961,0
-1.3575316625627514,0
-0.2999645033424777,0
-1.3575316625627514,0
-1.3575316625627514,0
1.8151698150980697,0
0.7576026558777961,0
-1.3575316625627514,0
-0.2999645033424777,0
1.8151698150980697,0
1.8151698150980697,0
0.7576026558777961,0
-1.3575316625627514,0
-0.2999645033424777,0
-1.3575316625627514,0
-1.3575316625627514,0
-0.2999645033424777,0
1.8151698150980697,0
-1.3575316625627514,0
-0.2999645033424777,0
-0.2999645033424777,0
1.8151698150980697,0
-0.2999645033424777,0
0.7576026558777961,0
-1.3575316625627514,0
-1.3575316625627514,0
1.8151698150980697,0
0.7576026558777961,0
-1.3575316625627514,0
0.7576026558777961,0
-1.3575316625627514,0
0.7576026558777961,0
-1.3575316625627514,0
